,logFC,logCPM,LR,PValue,FDR,change,ENSEMBL
ENSG00000086991,3.5033205388291,-0.093683567185106,215.888529494998,7.13243567233277e-49,3.47924813667794e-46,UP,ENSG00000086991
ENSG00000112984,4.5462395979786,2.85408593595039,215.169328399295,1.02359563656892e-48,4.83712913006098e-46,UP,ENSG00000112984
ENSG00000127564,3.88560930135251,2.0678394292972,214.512278179628,1.42384636099532e-48,6.47561042735979e-46,UP,ENSG00000127564
ENSG00000175063,4.8806367134638,3.39825265654608,214.312684792949,1.57399945992381e-48,7.10508054715457e-46,UP,ENSG00000175063
ENSG00000161800,3.20037084314577,3.38817609502571,212.509874763445,3.89311633701912e-48,1.60419328731341e-45,UP,ENSG00000161800
ENSG00000268403,3.01301920479359,-0.496527621156863,212.507090460628,3.89856522343392e-48,1.60419328731341e-45,UP,ENSG00000268403
ENSG00000169679,4.29121781993771,2.50009569781115,212.294005371037,4.33901834403007e-48,1.74220765197575e-45,UP,ENSG00000169679
ENSG00000152253,3.88591750528981,1.13083173469798,212.289347552556,4.34918257254892e-48,1.74220765197575e-45,UP,ENSG00000152253
ENSG00000072571,4.01261334279087,2.60573425861319,211.434529500828,6.68185554866004e-48,2.624494015762e-45,UP,ENSG00000072571
ENSG00000101412,4.3478750737146,3.80097733778401,210.566041819735,1.03364711914699e-47,4.03375786728794e-45,UP,ENSG00000101412
ENSG00000126787,4.50289409709796,2.09332873519189,210.300865244824,1.18093435262713e-47,4.52103526086771e-45,UP,ENSG00000126787
ENSG00000164283,4.95461507346786,2.83639192391363,209.265015626779,1.98710067387286e-47,7.41949046674208e-45,UP,ENSG00000164283
ENSG00000263412,3.40483072974131,-1.26391627627765,209.235513111992,2.01677101189755e-47,7.4701115598998e-45,UP,ENSG00000263412
ENSG00000131747,4.73486961690609,4.95985615495,209.214955266238,2.03770732605387e-47,7.4701115598998e-45,UP,ENSG00000131747
ENSG00000186185,4.87219339436671,2.18176428358325,208.868200798159,2.42546725823752e-47,8.73283711406377e-45,UP,ENSG00000186185
ENSG00000154096,3.14065392538494,5.02700063510038,208.422775676519,3.03373391719631e-47,1.07943821872571e-44,UP,ENSG00000154096
ENSG00000134690,3.96995494953357,2.58105849617254,208.214468231952,3.36841795121548e-47,1.18458642461118e-44,UP,ENSG00000134690
ENSG00000167513,4.1094184342059,3.07566038650978,207.993992258709,3.76296015225798e-47,1.29326098687375e-44,UP,ENSG00000167513
ENSG00000154920,4.0106569517597,0.742135801298717,207.977802894045,3.79368999294185e-47,1.29645604685348e-44,UP,ENSG00000154920
ENSG00000120334,3.11373633067354,1.6138607374525,207.855118905919,4.0348672933301e-47,1.36346956893269e-44,UP,ENSG00000120334
ENSG00000184374,-3.36123937536694,1.51635636141578,206.386842887019,8.43696373441917e-47,2.72906450463929e-44,DOWN,ENSG00000184374
ENSG00000043355,7.4340524429355,1.96539064699251,204.678616527413,1.99026287089351e-46,6.14219492523503e-44,UP,ENSG00000043355
ENSG00000166851,4.36131230681065,3.01095447730224,204.580982831063,2.09032563331296e-46,6.4182546653723e-44,UP,ENSG00000166851
ENSG00000171848,3.7633459607516,4.28282502796468,204.227800558577,2.49619275334399e-46,7.49770166316496e-44,UP,ENSG00000171848
ENSG00000111206,4.40178533307539,3.59639557485591,204.032696565954,2.75327741189037e-46,8.20395291085835e-44,UP,ENSG00000111206
ENSG00000160957,3.36906123296821,3.78653627356736,203.890927496798,2.95654315798891e-46,8.76644032060946e-44,UP,ENSG00000160957
ENSG00000165682,-4.70908687915189,0.622161778163148,202.54970150003,5.80025550766381e-46,1.65493327899797e-43,DOWN,ENSG00000165682
ENSG00000172244,3.1116387641721,0.166561194801339,201.544006123902,9.61394244791371e-46,2.66756032472204e-43,UP,ENSG00000172244
ENSG00000100162,4.23732394576292,2.20397571890539,201.508546834006,9.78676685995832e-46,2.70311394440712e-43,UP,ENSG00000100162
ENSG00000178999,4.2877847083805,2.51445216500554,201.486909254938,9.89374870735655e-46,2.72024123550265e-43,UP,ENSG00000178999
ENSG00000180785,3.70446152306165,-1.35256865556229,200.695691771988,1.47237239949732e-45,3.95826052003528e-43,UP,ENSG00000180785
ENSG00000260942,3.01747851416925,-0.261569612264592,200.499007694731,1.6253163786702e-45,4.35009456252227e-43,UP,ENSG00000260942
ENSG00000121211,3.50901537895563,0.785252091159943,199.291456609286,2.9816266632713e-45,7.64206074609975e-43,UP,ENSG00000121211
ENSG00000112742,4.56863209431597,1.8766535505884,198.414839619783,4.63186715705788e-45,1.17226937487915e-42,UP,ENSG00000112742
ENSG00000100302,3.34778413868193,-0.0318556398524273,197.730014372628,6.5344251571191e-45,1.61168631568963e-42,UP,ENSG00000100302
ENSG00000148773,4.17289280718934,4.47070061527018,196.794286108912,1.04572638788631e-44,2.53015591001868e-42,UP,ENSG00000148773
ENSG00000094804,3.98541625998362,3.2078899390337,195.839843508364,1.68934312575061e-44,4.07111501953798e-42,UP,ENSG00000094804
ENSG00000008300,4.17064623812837,2.22230897107525,195.376900983776,2.13183385163277e-44,5.07678606368357e-42,UP,ENSG00000008300
ENSG00000071539,4.25662111528776,1.9924020157631,194.989080115651,2.59056645020894e-44,6.12102279063432e-42,UP,ENSG00000071539
ENSG00000143476,3.98573371988295,2.95170780264378,194.816501340297,2.82527087730057e-44,6.62383662116886e-42,UP,ENSG00000143476
ENSG00000011426,4.52282812723698,3.11377188556957,194.514405798574,3.28846265449894e-44,7.65048188635892e-42,UP,ENSG00000011426
ENSG00000126838,-3.75611326055534,3.36248804700607,194.313569403226,3.63769307629677e-44,8.39835033584119e-42,DOWN,ENSG00000126838
ENSG00000140534,4.44757662104398,0.893865800063227,193.6753111421,5.0133650017823e-44,1.14433366878418e-41,UP,ENSG00000140534
ENSG00000138778,3.95720872571313,1.91988096391907,193.069084336957,6.79897900680189e-44,1.51197294913027e-41,UP,ENSG00000138778
ENSG00000101057,5.3064418345064,3.96802991686228,192.700502949216,8.18259169788966e-44,1.79981311498891e-41,UP,ENSG00000101057
ENSG00000254481,3.40250266037659,-3.07105036646377,191.606680989455,1.41786492227402e-43,3.01985258515884e-41,UP,ENSG00000254481
ENSG00000093009,3.79031455051377,2.05924971532033,191.5743228379,1.44111169589808e-43,3.05859523724501e-41,UP,ENSG00000093009
ENSG00000113296,6.43048278754633,3.67703589806878,191.471854478658,1.51727170681329e-43,3.20897660845184e-41,UP,ENSG00000113296
ENSG00000185480,3.48629197187723,1.23828970301411,190.637496716855,2.30770598803504e-43,4.78042876041999e-41,UP,ENSG00000185480
ENSG00000075218,4.35109575193815,1.9032899553145,190.521222832695,2.44658415112152e-43,4.99962777476482e-41,UP,ENSG00000075218
ENSG00000156970,4.36061220127204,2.16578801872963,190.124671022461,2.9861945445022e-43,6.04110152534613e-41,UP,ENSG00000156970
ENSG00000104938,-5.15366457037211,1.13739522711257,189.618321824571,3.851621234284e-43,7.74009519001231e-41,DOWN,ENSG00000104938
ENSG00000183856,4.02589937326473,3.56510897121018,189.279149680106,4.56750076809292e-43,9.09587331338525e-41,UP,ENSG00000183856
ENSG00000147378,4.99432902758494,-1.72292314171165,189.105511261199,4.9840337502458e-43,9.85209913349242e-41,UP,ENSG00000147378
ENSG00000147889,4.61918707956068,3.42460012352951,188.040030090385,8.5145466115855e-43,1.62469367647187e-40,UP,ENSG00000147889
ENSG00000129810,3.83930973110027,1.07244726333499,186.984662470664,1.44724199699639e-42,2.6935622742867e-40,UP,ENSG00000129810
ENSG00000270933,3.42867047932496,-0.0513885160422382,186.934688985678,1.48405569077467e-42,2.75360615409749e-40,UP,ENSG00000270933
ENSG00000137310,3.51087200031259,3.65280260573565,186.891810022602,1.51638871119856e-42,2.80204850030129e-40,UP,ENSG00000137310
ENSG00000024526,4.60007002819786,1.86736208161116,186.887825890592,1.51942849507146e-42,2.80204850030129e-40,UP,ENSG00000024526
ENSG00000245614,3.50674338814999,-1.57718305467735,186.667506522759,1.69736592878914e-42,3.11122031213933e-40,UP,ENSG00000245614
ENSG00000162062,3.48816347262275,1.72724638850802,186.594352350716,1.76094152231723e-42,3.21800093057174e-40,UP,ENSG00000162062
ENSG00000164100,-3.6851010328958,-2.50903557419238,186.110038820964,2.24631536609314e-42,4.04390249595958e-40,DOWN,ENSG00000164100
ENSG00000168078,4.198519631612,2.05401762090508,185.930742723967,2.45816757905144e-42,4.37322472122539e-40,UP,ENSG00000168078
ENSG00000203760,3.32664881546093,2.05511765859903,185.484111892345,3.07689662294371e-42,5.42610270928919e-40,UP,ENSG00000203760
ENSG00000160298,3.00846915011429,1.44206760039391,184.896305477194,4.13461843727463e-42,7.1660401155836e-40,UP,ENSG00000160298
ENSG00000109674,4.8806649621211,0.424495273594414,184.838215684679,4.25713075123671e-42,7.33082018013098e-40,UP,ENSG00000109674
ENSG00000123080,3.04075111082668,3.59408758962313,184.834051801078,4.26605062724194e-42,7.33082018013098e-40,UP,ENSG00000123080
ENSG00000185585,3.10656024193213,2.83099490658561,184.319710004061,5.52474991839437e-42,9.38710879392805e-40,UP,ENSG00000185585
ENSG00000118193,3.9184611110469,1.7111246723033,183.349772531398,8.9963311507027e-42,1.46676571062993e-39,UP,ENSG00000118193
ENSG00000169607,3.98719280206472,1.7799833580206,183.229836136589,9.55542200173536e-42,1.54956666498919e-39,UP,ENSG00000169607
ENSG00000102384,3.87809922640016,0.610140775341358,182.737068253033,1.22414145303191e-41,1.96408138490701e-39,UP,ENSG00000102384
ENSG00000121152,3.73852617244132,2.05214474770363,182.358156746918,1.48100701030798e-41,2.36992465712987e-39,UP,ENSG00000121152
ENSG00000105011,3.71488001294961,2.69421516457954,181.322336228562,2.49290874222039e-41,3.85654895139199e-39,UP,ENSG00000105011
ENSG00000122952,3.21035113541009,3.54882574232062,180.992907518991,2.94192466119566e-41,4.51652636818282e-39,UP,ENSG00000122952
ENSG00000226363,5.31079689879674,-2.55673915061432,180.977961797025,2.96411267285837e-41,4.53906955331284e-39,UP,ENSG00000226363
ENSG00000167900,3.0552006702994,4.54895990301356,180.756979806363,3.31240010874388e-41,4.99652014408229e-39,UP,ENSG00000167900
ENSG00000101447,3.15847367082193,3.04982829231001,180.505199006256,3.75937556785169e-41,5.64260817241224e-39,UP,ENSG00000101447
ENSG00000186871,3.97627280253594,0.161698300254234,180.434815324692,3.89478161442707e-41,5.80264902200652e-39,UP,ENSG00000186871
ENSG00000140525,3.03535919304016,3.14605107630267,179.691358412679,5.65991109611398e-41,8.28950853224558e-39,UP,ENSG00000140525
ENSG00000279204,4.48708936904189,-1.76731911628088,178.885960595502,8.48524527499459e-41,1.21624529903761e-38,UP,ENSG00000279204
ENSG00000145386,4.22560664682211,3.1790922183731,178.778867707344,8.95463623308163e-41,1.27747178411944e-38,UP,ENSG00000145386
ENSG00000243155,2.99990697979489,-0.972491222260531,178.656792753271,9.52144573955981e-41,1.35195589177111e-38,UP,ENSG00000243155
ENSG00000272906,3.12213106446494,-1.85426492188671,178.283259016147,1.14885242587629e-40,1.62744228422494e-38,UP,ENSG00000272906
ENSG00000137807,4.12189148875339,2.23662901453622,177.353781640418,1.8332442317379e-40,2.5491787836635e-38,UP,ENSG00000137807
ENSG00000274460,3.05130390685164,-1.50537054493243,176.378441746634,2.99362223915598e-40,4.02396048893483e-38,UP,ENSG00000274460
ENSG00000240498,4.17204464636307,-0.860403445188399,176.196945895264,3.27966447122259e-40,4.3696111131126e-38,UP,ENSG00000240498
ENSG00000198826,3.31737183949826,2.52459926439271,175.807475783588,3.98911891544743e-40,5.25694607750727e-38,UP,ENSG00000198826
ENSG00000075702,3.31792799265515,2.26414030003201,175.582418018,4.46706973480122e-40,5.8359419896038e-38,UP,ENSG00000075702
ENSG00000121621,4.14178130908036,0.957134607452708,175.233756790599,5.32304816618774e-40,6.85064973353966e-38,UP,ENSG00000121621
ENSG00000272953,3.15891620644072,-2.24822521237625,174.932142997876,6.19476620623618e-40,7.95560548371156e-38,UP,ENSG00000272953
ENSG00000185633,3.62489066407307,4.19182881004734,174.375289998047,8.19650370574997e-40,1.03289607531959e-37,UP,ENSG00000185633
ENSG00000166803,3.22438684092,2.63978921801933,173.988320647526,9.95714892987819e-40,1.2443967447737e-37,UP,ENSG00000166803
ENSG00000085840,3.67891171272151,1.47911891448653,173.76987059261,1.11132372930293e-39,1.38601545851702e-37,UP,ENSG00000085840
ENSG00000146410,3.73618994681501,0.168016376421052,173.422406637673,1.32349160902091e-39,1.63687254710819e-37,UP,ENSG00000146410
ENSG00000278292,-3.54917817766414,-4.80222255262129,172.101986832165,2.57091484665354e-39,3.07939598503721e-37,DOWN,ENSG00000278292
ENSG00000137804,3.04130087486626,3.9612259304992,171.808938799928,2.97912100863897e-39,3.55426176667759e-37,UP,ENSG00000137804
ENSG00000147257,6.52380814836045,8.81486481683493,171.187442806751,4.0721361431568e-39,4.76432052277115e-37,UP,ENSG00000147257
ENSG00000187013,3.6542749623763,-1.2229037179747,170.840900579648,4.84739044177483e-39,5.60628973311809e-37,UP,ENSG00000187013
ENSG00000196584,3.66603186951011,0.807482905767247,170.808554180282,4.92688679276255e-39,5.68735741069887e-37,UP,ENSG00000196584
ENSG00000129173,4.39767050750965,1.2800003753721,170.517158285941,5.70446526548036e-39,6.52271635119803e-37,UP,ENSG00000129173
ENSG00000163808,4.15573607439635,1.40688250690931,170.503695059531,5.74321920604228e-39,6.55463855349218e-37,UP,ENSG00000163808
ENSG00000082684,3.07654407932311,1.65265520271694,170.223813229507,6.61125075777046e-39,7.5169424029327e-37,UP,ENSG00000082684
ENSG00000123473,3.16762044405505,1.68845967376089,169.327614569394,1.03758536282335e-38,1.16010098755007e-36,UP,ENSG00000123473
ENSG00000091651,3.60495817237534,1.18972090692879,169.024340195738,1.20854779105913e-38,1.346273274136e-36,UP,ENSG00000091651
ENSG00000007968,3.71786330312233,0.937799260850561,168.418664576522,1.63891019062569e-38,1.78620539838859e-36,UP,ENSG00000007968
ENSG00000163535,3.18379587106025,1.63180907481782,168.267348832043,1.76850333378063e-38,1.91023624381648e-36,UP,ENSG00000163535
ENSG00000171241,4.10145016859311,1.51993624788084,167.810101881895,2.22576772177847e-38,2.38709641764071e-36,UP,ENSG00000171241
ENSG00000110492,4.3325070388659,6.74877812758084,167.665809457968,2.39330018090884e-38,2.55319120534063e-36,UP,ENSG00000110492
ENSG00000275223,3.3926454649913,-1.66288197074003,166.961395171666,3.41084826202376e-38,3.58186440405023e-36,UP,ENSG00000275223
ENSG00000260428,3.88873226088261,-0.513740536238637,166.754890194812,3.78416443608697e-38,3.95330808998322e-36,UP,ENSG00000260428
ENSG00000196460,3.42069124425347,-1.64812531722354,166.419629007084,4.47922584705111e-38,4.65531637519635e-36,UP,ENSG00000196460
ENSG00000182963,3.10433688383123,1.67321079743666,166.393046852125,4.53951530742165e-38,4.70988339477394e-36,UP,ENSG00000182963
ENSG00000278876,3.13368829204824,-1.95068937589953,166.177226034612,5.06002802741039e-38,5.22305418638225e-36,UP,ENSG00000278876
ENSG00000101003,3.50526312241665,2.63698223804741,166.098444936696,5.26455643898192e-38,5.41568860342072e-36,UP,ENSG00000101003
ENSG00000188095,4.04639826921961,-0.148094624788119,164.108100968262,1.4326709954672e-37,1.39323799314823e-35,UP,ENSG00000188095
