gene_symbol	Pvalue	log2FC	t.test_fdr
postnb	9.54943616660609e-07	-1.41624967552629	7.35975635694836e-05
a2ml	3.43314248030493e-05	-1.38814442161705	0.00150126416174477
eppk1	2.33948360960258e-08	1.38193263900838	2.8644637315974e-06
evpla	4.4992799362567e-08	1.34446422496931	5.2099860191523e-06
si:dkey-175d9.2	0.000707738466798058	1.34029329072446	0.018359215651431
si:dkey-183i3.5	8.4722874249762e-05	-1.33431973360119	0.00305102021268849
zgc:92380	0.00153241927798879	-1.26540654680411	0.0304593208436602
vtg1	4.44671768049798e-17	-1.26117819235179	3.40285070500108e-14
	0.00190725039890099	-1.25163066309321	0.0357335118099569
fah	0.000509474327579293	-1.24841499142005	0.0139790803242929
	0.00114811502688538	-1.24403323605543	0.0251454185787079
capn2l	3.846232171831e-06	1.23978786481418	0.000240271768938259
si:zfos-2330d3.2	0.00234015696177705	-1.23876000517042	0.0421365909411738
nqo1	0.000805622666118743	1.22832334324229	0.0205500915082456
mcu	0.00224227981114033	1.2248522762717	0.0410995119874285
impa1	0.000412738197507806	1.22460481220826	0.0115907488309302
ahsg1	0.000542333819410413	-1.21953929239702	0.0146910072673918
c3a.2	4.20342109797513e-05	-1.19667072147216	0.00173873945687863
zgc:100864	0.000101547368766065	1.19471817459973	0.00349254489654972
LOC101883092	0.00112419332642362	1.19147562010414	0.0251454185787079
ezrb	9.80888146484709e-06	1.18936768255961	0.000526754143226262
anxa3a	0.000125774138543169	1.17906339551803	0.00418472432696348
apoa2	1.06592486845997e-05	-1.15941021436024	0.000562551038337237
serpina1l	6.35837524593413e-08	-1.14999517012538	6.95106665278727e-06
si:ch73-237c6.1	6.17978662515202e-05	-1.14715160309052	0.00232892516199118
c9	0.000112966317980901	-1.14448932606407	0.00384210999266155
apoa1b	3.28665662880264e-14	-1.13757900765303	1.43720799153784e-11
bpnt1	0.000311857877052378	-1.13296466123873	0.00917881693901276
cp	1.54193251486749e-09	-1.13215865652214	2.77638554588788e-07
	5.15455414514264e-05	1.13092121924746	0.00202283208183098
ces2	0.000134882271797099	-1.13089774663216	0.00439228334011616
ahsg2	0.000569951967780711	-1.12694635871338	0.0151706345511022
kng1	3.64440762345411e-06	-1.12297547642833	0.000232406911154022
krt1-19d	1.56728811924708e-08	1.119628537586	2.08585605783274e-06
si:dkey-105h12.2	0.00229634875630588	-1.1118886718884	0.041840021089597
nenf	0.00247276124170608	1.09775264026085	0.0437392548147334
hpx	5.10988408524251e-06	-1.07906763262729	0.000311910749158274
ces3	0.000947031677054194	-1.07040898380265	0.0224718136702549
cnp	1.99193842851755e-06	-1.06548730774708	0.000140922500093084
col1a2	0.00257878783684312	-1.05423261240699	0.0448503952760044
afp4	0.00132790955735479	-1.05388171853795	0.0282272996879375
BX005410.1	0.00101098019444793	-1.05039152929212	0.0234375638711061
nudt9	0.00114225183436252	1.04073259260637	0.0251454185787079
apoa1	8.36046941958237e-07	-1.03991661722339	6.9165937549572e-05
ass1	4.96038011007038e-05	1.03190267899803	0.00197191214505525
cfhl4	0.00170471013913102	-1.03028479915607	0.033026061619494
